,nombre,apellido,equipo,id
0,Alex,Abrines,FC Barcelona,1
1,Jaylen,Adams,St. Bonaventure,2
2,Steven,Adams,Pittsburgh,3
3,Bam,Adebayo,Kentucky,4
4,DeVaughn,Akoon-Purcell,Illinois State,5
5,LaMarcus,Aldridge,University of Texas at Austin,6
6,Rawle,Alkins,Arizona,7
7,Grayson,Allen,Duke,8
8,Jarrett,Allen,Texas,9
9,Al-Farouq,Aminu,Wake Forest,10
10,Justin,Anderson,Virginia,11
11,Kyle,Anderson,UCLA,12
12,Ryan,Anderson,California,13
13,Ike,Anigbogu,UCLA,14
14,Giannis,Antetokounmpo,Filathlitikos,15
15,Kostas,Antetokounmpo,Dayton,16
16,Carmelo,Anthony,Syracuse,17
17,OG,Anunoby,Indiana,18
18,Ryan,Arcidiacono,Villanova,19
19,Trevor,Ariza,UCLA,20
20,D.J.,Augustin,Texas,21
21,Deandre,Ayton,Arizona,22
22,Dwayne,Bacon,Florida State,23
23,Marvin,Bagley III,Duke,24
24,Ron,Baker,Wichita State,25
25,Wade,Baldwin IV,Vanderbilt,26
26,Lonzo,Ball,UCLA,27
27,Mo,Bamba,Texas,28
28,J.J.,Barea,Northeastern,29
29,Harrison,Barnes,North Carolina,30
30,Will,Barton,Memphis,31
31,Keita,Bates-Diop,Ohio State,32
32,Nicolas,Batum,Le Mans,33
33,Jerryd,Bayless,Arizona,34
34,Aron,Baynes,Washington State,35
35,Kent,Bazemore,Old Dominion,36
36,Bradley,Beal,Florida,37
37,Malik,Beasley,Florida State,38
38,Michael,Beasley,Kansas State,39
39,Marco,Belinelli,Fortitudo Bologna,40
40,Jordan,Bell,Oregon,41
41,DeAndre',Bembry,St. Joseph's (PA),42
42,Dragan,Bender,Maccabi Tel Aviv,43
43,Davis,Bertans,Baskonia,44
44,Patrick,Beverley,Arkansas,45
45,Khem,Birch,UNLV,46
46,Jabari,Bird,California,47
47,Bismack,Biyombo,Baloncesto Fuenlabrada,48
48,Nemanja,Bjelica,Fenerbahce,49
49,Antonio,Blakeney,Louisiana State,50
50,Eric,Bledsoe,Kentucky,51
51,Trevon,Bluiett,Xavier,52
52,Bogdan,Bogdanovic,Fenerbahce,53
53,Bojan,Bogdanovic,Fenerbahce,54
54,Jonah,Bolden,UCLA,55
55,Isaac,Bonga,Skyliners Frankfurt,56
56,Devin,Booker,Kentucky,57
57,Chris,Boucher,Oregon,58
